0.25,17.4
0.54,40.8
0.82,71.6
1.1,107.4
1.34,147
1.65,185.8
1.93,232.6
2.11,270.2
2.22,312.6
2.49,356.6
2.77,390.2
3.07,401.4
3.35,405.6
3.76,415
4.05,420
4.41,425.7
4.72,426.6
5.06,428.9
5.41,430
5.75,431
6.09,431
6.39,422.2
7.36 ,402.8
